Prefix:  ctg(ln(x+5))
Postfix: x 5 + ln ctg 
x=-9.301718, y=0.000000
x=-9.300717, y=0.000000
x=-9.299717, y=0.000000
x=-9.298717, y=0.000000
x=-9.297716, y=0.000000
x=-9.296716, y=0.000000
x=-9.295715, y=0.000000
x=-9.294715, y=0.000000
x=-9.293715, y=0.000000
x=-9.292714, y=0.000000
x=-9.291714, y=0.000000
x=-9.290713, y=0.000000
x=-9.289713, y=0.000000
x=-9.288713, y=0.000000
x=-9.287712, y=0.000000
x=-9.286712, y=0.000000
x=-9.285711, y=0.000000
x=-9.284711, y=0.000000
x=-9.283710, y=0.000000
x=-9.282710, y=0.000000
x=-9.281710, y=0.000000
x=-9.280709, y=0.000000
x=-9.279709, y=0.000000
x=-9.278708, y=0.000000
x=-9.277708, y=0.000000
x=-9.276708, y=0.000000
x=-9.275707, y=0.000000
x=-9.274707, y=0.000000
x=-9.273706, y=0.000000
x=-9.272706, y=0.000000
x=-9.271706, y=0.000000
x=-9.270705, y=0.000000
x=-9.269705, y=0.000000
x=-9.268704, y=0.000000
x=-9.267704, y=0.000000
x=-9.266704, y=0.000000
x=-9.265703, y=0.000000
x=-9.264703, y=0.000000
x=-9.263702, y=0.000000
x=-9.262702, y=0.000000
x=-9.261702, y=0.000000
x=-9.260701, y=0.000000
x=-9.259701, y=0.000000
x=-9.258700, y=0.000000
x=-9.257700, y=0.000000
x=-9.256700, y=0.000000
x=-9.255699, y=0.000000
x=-9.254699, y=0.000000
x=-9.253698, y=0.000000
x=-9.252698, y=0.000000
x=-9.251698, y=0.000000
x=-9.250697, y=0.000000
x=-9.249697, y=0.000000
x=-9.248696, y=0.000000
x=-9.247696, y=0.000000
x=-9.246696, y=0.000000
x=-9.245695, y=0.000000
x=-9.244695, y=0.000000
x=-9.243694, y=0.000000
x=-9.242694, y=0.000000
x=-9.241693, y=0.000000
x=-9.240693, y=0.000000
x=-9.239693, y=0.000000
x=-9.238692, y=0.000000
x=-9.237692, y=0.000000
x=-9.236691, y=0.000000
x=-9.235691, y=0.000000
x=-9.234691, y=0.000000
x=-9.233690, y=0.000000
x=-9.232690, y=0.000000
x=-9.231689, y=0.000000
x=-9.230689, y=0.000000
x=-9.229689, y=0.000000
x=-9.228688, y=0.000000
x=-9.227688, y=0.000000
x=-9.226687, y=0.000000
x=-9.225687, y=0.000000
x=-9.224687, y=0.000000
x=-9.223686, y=0.000000
x=-9.222686, y=0.000000
x=-9.221685, y=0.000000
x=-9.220685, y=0.000000
x=-9.219685, y=0.000000
x=-9.218684, y=0.000000
x=-9.217684, y=0.000000
x=-9.216683, y=0.000000
x=-9.215683, y=0.000000
x=-9.214683, y=0.000000
x=-9.213682, y=0.000000
x=-9.212682, y=0.000000
x=-9.211681, y=0.000000
x=-9.210681, y=0.000000
x=-9.209681, y=0.000000
x=-9.208680, y=0.000000
x=-9.207680, y=0.000000
x=-9.206679, y=0.000000
x=-9.205679, y=0.000000
x=-9.204679, y=0.000000
x=-9.203678, y=0.000000
x=-9.202678, y=0.000000
x=-9.201677, y=0.000000
x=-9.200677, y=0.000000
x=-9.199677, y=0.000000
x=-9.198676, y=0.000000
x=-9.197676, y=0.000000
x=-9.196675, y=0.000000
x=-9.195675, y=0.000000
x=-9.194674, y=0.000000
x=-9.193674, y=0.000000
x=-9.192674, y=0.000000
x=-9.191673, y=0.000000
x=-9.190673, y=0.000000
x=-9.189672, y=0.000000
x=-9.188672, y=0.000000
x=-9.187672, y=0.000000
x=-9.186671, y=0.000000
x=-9.185671, y=0.000000
x=-9.184670, y=0.000000
x=-9.183670, y=0.000000
x=-9.182670, y=0.000000
x=-9.181669, y=0.000000
x=-9.180669, y=0.000000
x=-9.179668, y=0.000000
x=-9.178668, y=0.000000
x=-9.177668, y=0.000000
x=-9.176667, y=0.000000
x=-9.175667, y=0.000000
x=-9.174666, y=0.000000
x=-9.173666, y=0.000000
x=-9.172666, y=0.000000
x=-9.171665, y=0.000000
x=-9.170665, y=0.000000
x=-9.169664, y=0.000000
x=-9.168664, y=0.000000
x=-9.167664, y=0.000000
x=-9.166663, y=0.000000
x=-9.165663, y=0.000000
x=-9.164662, y=0.000000
x=-9.163662, y=0.000000
x=-9.162662, y=0.000000
x=-9.161661, y=0.000000
x=-9.160661, y=0.000000
x=-9.159660, y=0.000000
x=-9.158660, y=0.000000
x=-9.157660, y=0.000000
x=-9.156659, y=0.000000
x=-9.155659, y=0.000000
x=-9.154658, y=0.000000
x=-9.153658, y=0.000000
x=-9.152658, y=0.000000
x=-9.151657, y=0.000000
x=-9.150657, y=0.000000
x=-9.149656, y=0.000000
x=-9.148656, y=0.000000
x=-9.147655, y=0.000000
x=-9.146655, y=0.000000
x=-9.145655, y=0.000000
x=-9.144654, y=0.000000
x=-9.143654, y=0.000000
x=-9.142653, y=0.000000
x=-9.141653, y=0.000000
x=-9.140653, y=0.000000
x=-9.139652, y=0.000000
x=-9.138652, y=0.000000
x=-9.137651, y=0.000000
x=-9.136651, y=0.000000
x=-9.135651, y=0.000000
x=-9.134650, y=0.000000
x=-9.133650, y=0.000000
x=-9.132649, y=0.000000
x=-9.131649, y=0.000000
x=-9.130649, y=0.000000
x=-9.129648, y=0.000000
x=-9.128648, y=0.000000
x=-9.127647, y=0.000000
x=-9.126647, y=0.000000
x=-9.125647, y=0.000000
x=-9.124646, y=0.000000
x=-9.123646, y=0.000000
x=-9.122645, y=0.000000
x=-9.121645, y=0.000000
x=-9.120645, y=0.000000
x=-9.119644, y=0.000000
x=-9.118644, y=0.000000
x=-9.117643, y=0.000000
x=-9.116643, y=0.000000
x=-9.115643, y=0.000000
x=-9.114642, y=0.000000
x=-9.113642, y=0.000000
x=-9.112641, y=0.000000
x=-9.111641, y=0.000000
x=-9.110641, y=0.000000
x=-9.109640, y=0.000000
x=-9.108640, y=0.000000
x=-9.107639, y=0.000000
x=-9.106639, y=0.000000
x=-9.105639, y=0.000000
x=-9.104638, y=0.000000
x=-9.103638, y=0.000000
x=-9.102637, y=0.000000
x=-9.101637, y=0.000000
x=-9.100636, y=0.000000
x=-9.099636, y=0.000000
x=-9.098636, y=0.000000
x=-9.097635, y=0.000000
x=-9.096635, y=0.000000
x=-9.095634, y=0.000000
x=-9.094634, y=0.000000
x=-9.093634, y=0.000000
x=-9.092633, y=0.000000
x=-9.091633, y=0.000000
x=-9.090632, y=0.000000
x=-9.089632, y=0.000000
x=-9.088632, y=0.000000
x=-9.087631, y=0.000000
x=-9.086631, y=0.000000
x=-9.085630, y=0.000000
x=-9.084630, y=0.000000
x=-9.083630, y=0.000000
x=-9.082629, y=0.000000
x=-9.081629, y=0.000000
